Data,Team,passes completed,forward passes,backward passes,sideways passes,chances created,assists created,avg pass length,shots on target,shots off target,goals scored
Attacking_17,Leicester City,1093.71,312.52,507.91,266.62,28.31,3.68,1.74m,14.21,15.7,5.56
Attacking_17,Swansea City,1191.7,378.7,514.3,290.4,21.3,1.8,1.78m,9.6,13.5,2.8
Attacking_17,Crystal Palace,998.4,285.65,475.58,230.77,30.83,2.39,1.61m,13.74,18.32,4.29
Attacking_17,West Ham United,1028.82,313.24,445,262.45,26.47,3.14,1.76m,12.84,14.12,4.71
Attacking_17,Brighton and Hove Albion,1093.44,335.77,482.68,267.35,28,2.24,1.87m,11.81,16.39,3.46
Attacking_17,Everton,1069.1,334.1,461,266.6,25.4,2.3,1.77m,11.8,15.2,4.4
Attacking_17,Huddersfield Town,1063.93,325.37,470.24,258.69,24.01,1.79,1.75m,10.02,13.59,2.78
Attacking_17,Newcastle United,981.31,300.67,450.3,219.26,30.77,2.7,1.72m,14.38,17.58,3.9
Attacking_17,Burnley,901.94,300.13,395.86,198.86,25.56,2.14,1.84m,12.25,13.7,3.5
Attacking_17,West Bromwich Albion,928.6,293.3,427,200.3,25.9,2.3,1.83m,11.2,17.3,3.1
Attacking_17,Stoke City,849.17,256.24,392.1,192.71,26.75,2.68,1.75m,12.04,15.19,3.34
Attacking_18,Manchester City,2431.68,691.91,1005.48,722.37,48.4,8.28,1.51m,25.73,24.35,10.45
Attacking_18,Liverpool,1886.3,528.5,823.5,523.9,47.6,5.6,1.72m,22.9,22.9,8.4
Attacking_18,Arsenal,1934.25,524.75,869.1,524.95,43.75,5.68,1.6m,22.72,19.73,7.38
Attacking_18,Tottenham Hotspur,1759.47,486.46,786.85,476.82,44.4,4.77,1.78m,21.06,22.35,7.35
Attacking_18,Chelsea,1742.3,457.4,768.1,506.7,47.2,4.2,1.65m,21.3,21.3,6.2
Attacking_18,Manchester United,1618.02,427.33,668.12,512.38,36.24,4.95,1.55m,17.13,16.44,6.73
Attacking_18,Southampton,1297.12,382.25,568.94,336.95,33.63,2.2,1.64m,13.87,19.16,3.69
Attacking_18,Bournemouth,1231.37,338.04,584.74,299.04,34.28,3.39,1.83m,16.01,17.86,4.62
Attacking_18,Watford,1135.78,323.31,527.64,277.12,30.26,2.37,1.67m,12.96,18.89,4.35
Attacking_18,Leicester City,1093.71,312.52,507.91,266.62,28.31,3.68,1.74m,14.21,15.7,5.56
Attacking_18,Swansea City,1191.7,378.7,514.3,290.4,21.3,1.8,1.78m,9.6,13.5,2.8
Attacking_18,Crystal Palace,998.4,285.65,475.58,230.77,30.83,2.39,1.61m,13.74,18.32,4.29
Attacking_18,West Ham United,1028.82,313.24,445,262.45,26.47,3.14,1.76m,12.84,14.12,4.71
Attacking_18,Brighton and Hove Albion,1093.44,335.77,482.68,267.35,28,2.24,1.87m,11.81,16.39,3.46
Attacking_18,Everton,1069.1,334.1,461,266.6,25.4,2.3,1.77m,11.8,15.2,4.4
Attacking_18,Huddersfield Town,1063.93,325.37,470.24,258.69,24.01,1.79,1.75m,10.02,13.59,2.78
Attacking_18,Newcastle United,981.31,300.67,450.3,219.26,30.77,2.7,1.72m,14.38,17.58,3.9
Attacking_18,Burnley,901.94,300.13,395.86,198.86,25.56,2.14,1.84m,12.25,13.7,3.5
Attacking_18,West Bromwich Albion,928.6,293.3,427,200.3,25.9,2.3,1.83m,11.2,17.3,3.1
Attacking_18,Stoke City,849.17,256.24,392.1,192.71,26.75,2.68,1.75m,12.04,15.19,3.34
